sport_name,"f1, metabolic demand_Normalized","f2, neurocognitive precision_Normalized","f3, risk modulation_Normalized","f4, kinesthetic intelligence_Normalized","f5, environmental dependency_Normalized","f6, collaborative dynamics_Normalized","f7, biomechanical advantage_Normalized","f8, resource investment_Normalized",popular_Normalized
Aerial Silk,-0.819947166529058,-0.4270760999801499,0.6360745125763503,2.4963621451167946,-1.274491251804136,-0.43777442344782597,-0.09134936468958846,0.29994235588280704,-1.6883350513241284
Aerobatics,-0.4707977929867268,2.241376574604293,1.9635978896809463,0.5642327725789701,1.1532509616015096,-0.9420035942479262,-0.33301295280078386,-0.11879912219087709,-0.600723804205764
Alpinism,0.5804408542705383,-0.23522347553230308,0.580682190227553,0.9722887147307459,0.1977819759781275,-1.0852363790241204,0.3451257156904773,6.23446841390164,-0.6774759596355516
Archery,-2.8852298267173255,2.1780882905025503,-1.144358253623179,0.05689398660561317,-0.4031010500179678,-1.3106527450371095,1.2524386586279943,-0.7067045709867693,-0.10877666944572174
Athletics,1.4280100678872694,-0.44219193203606094,-1.1483342638466352,0.19210475090120296,1.1184094379184315,-1.3523304973554067,0.2724354302974907,-0.06839336080604093,0.17639772420690067
Badminton,0.1649602323086033,0.5032559226209138,-1.5577896120492467,-0.20013091424764715,0.43645683747234304,0.5189881179978092,-0.4364836207540242,-1.0700254478759388,-2.0964806108433276
Baseball,0.07804150074816067,0.9054720580628471,-0.6214691856132659,-0.5030307299897455,1.1439755776000284,1.36373044828655,0.5348747581031889,0.87012321981362,0.1526487861788337
Basketball,0.7914495887407502,1.1698716465711472,-0.7036785714103437,0.11828587631320142,1.0715246202463142,1.4262332688527928,2.1124145331735105,0.08199152446770198,0.6898867803854668
Boomerang,-1.2313150114818137,-0.7704246153933754,-0.36363018198993025,-1.0462948399577723,0.6912764074013558,-0.42934794170133983,0.040236306240707224,-2.028260715186055,-1.6235808426529206
Boules,-2.019415565373037,-0.6466174862576416,-1.041560449364855,-1.021566085789592,0.4810600965754573,0.6307637098700127,0.24830710459372135,-0.6262112326053474,-0.6963220205075515
Bowling,-1.7469840325756754,-0.5751583612418375,-0.3384911362399727,-0.6209475665054938,-0.8393657030359115,0.26893826000546117,0.7433445182591382,-0.4713473612431148,-0.5749681763554163
Boxing,1.2368456288466645,0.5277088498378598,1.1212893434420992,-1.0194362826938976,-1.6041805794936113,-0.07360833250862367,1.2938087914124388,0.07692672248140349,0.6370535391712443
Bungee Jumping,-1.9834441898658717,-3.3302553970215674,4.018659711182812,-0.6601289497243837,0.33786487131000353,0.5692244897291852,0.14855131363983373,-1.4854549698352768,-0.7824391761033163
Calisthenics,0.4521287440814184,-1.1501461859463813,-0.7828645045407936,1.4750737280280277,-0.845404815780284,-1.0279833528648363,-0.0983292616542257,-0.29038996251243526,0.401803685148083
Camping,-1.3849974037057948,-2.97907445611069,-0.13923675544228295,-0.9592092261836291,0.4855500720981056,1.4229444417563377,-1.0882777484141755,2.725140590351983,1.183717488092584
