,"f1, metabolic demand","f2, neurocognitive precision","f3, risk modulation","f4, kinesthetic intelligence","f5, environmental dependency","f6, collaborative dynamics","f7, biomechanical advantage","f8, resource investment",popular
social_interaction,-0.14452412962160122,-1.096402092494473,-1.86856500842199,-0.5717074999112781,0.03923187957012553,3.013952812662062,0.11262908183885613,-0.09656299694207814,0.023953543162701586
injury_risk,0.331830593536885,0.2845855653429256,1.7467280464562098,-0.0259679150778121,0.26195327400480023,0.7849900826045775,0.1712025926815381,-0.49177877757747585,0.35796520159112855
cost_category,-0.9496513590890275,-0.45003728641201907,0.30883489073692544,-0.050151051743621694,0.28584361813164577,-1.01889032819941,-0.49268437518157326,2.7210386385773404,-0.948121111129627
special_equipment_count,-0.920397788329962,0.25094334133646645,-0.1490017820146409,-0.12318692072361404,0.6139514869166399,0.36632717493390543,0.3562848483585637,1.89904262816395,0.6728551885887185
cultural_popularity,-0.1953128903710429,-1.1223540627144883,-2.2467380674050386,-0.3332025096179726,-0.30230693052163704,0.3714663771595133,-0.27138588698202104,0.44389453730201867,3.113197203612022
contact_level,0.48669687964140634,-0.13416590610363044,-0.00507568041309519,-1.1325297943191603,-1.705360460071856,1.9650358492596904,1.1629478757085683,-0.5090242753123086,0.8143431610853863
risk_tolerance,0.06730090700291631,-0.030431708382209453,2.021568701378605,0.1533034564553132,0.812825480373359,-1.1639165903147697,-0.37317913652972157,0.27872545447707714,-0.40286793940222565
consistency_demand,0.4585956488236716,0.9116770099190339,0.23746363639833537,0.30641871317625874,-0.8585341950830327,-0.8103533881958224,-0.20709086427515325,0.5369567030060266,2.1003075692760316
fun_factor,-0.050626535399022815,-0.45945222094897487,0.5208922384929555,0.576418595873968,0.7613673374070444,-0.405699363692632,-2.1628150870133807,-2.196512533345002,-1.0868172622287409
weather_sensitivity,-0.8920752681217565,-1.3016806452187564,0.1500197849871715,-1.1756337816873457,3.567771288008602,-0.6860810365949721,-0.7111486868792375,0.7883415697110079,-1.1707589369655094
height,-0.02859963321563414,-0.5174049027134047,-1.1758811116056913,-1.404539950946783,0.32773564444696657,0.47749035993721145,2.9818287469344535,-0.1794293809097551,-0.531903013782707
height_advantage,0.6323583573881544,-0.4196056157898853,-1.0906268420996177,0.17880169932472945,-0.905801569410097,0.42421237055288835,2.40340338977345,-0.6491827834765673,-0.5592314085982812
weight,-0.3985582917922381,-0.7369292021832091,-0.3097716308762076,-1.4807324152128367,-0.7081828612666426,-0.01105738564578404,2.903741790396765,-0.2669517741728221,0.22183237516244045
weight_advantage,1.0656062058888607,-0.9354194389031618,-0.7450086604776776,0.34282779469725466,-1.493366107435851,-0.38191594907232373,1.4139507354822347,-0.4329937862788791,-0.305396291954724
coach_required,-0.2891980751397375,0.6704858581340647,1.0850743411656496,-0.24864829159460444,-0.341532587648805,1.3451090989052155,0.23945708529855003,0.01820124413838619,1.0575248844000824
solo_practicability,-2.1132484908849944,-1.8275568637434496,-0.8815809076148706,-0.6476610030582205,-0.34006779343529603,-3.9094026049091823,-1.5638623424642268,-0.8968511977586965,-0.16312485855359402
seasonality,-0.8558174130712255,-1.1198550680373254,0.4266810529897782,-0.6192382735651621,3.1700383509231687,-0.1279247671499457,-0.5378493235430812,0.9442568453323937,0.568095589433367
difficulty_to_organize,-0.6253873694894412,0.10129809724648636,1.5967567069900055,0.07761457491774611,1.1192206202825155,0.5468698297284618,-0.676888308206474,1.4288192829508144,-1.0869355692981117
competitive_level,-0.024961858741538303,1.3020639802812342,0.6660161846485075,-0.22301046195815746,-1.061769059822293,-0.26510345070629776,-0.18644651830673364,0.16266257266295658,-0.6308254335472736
learning_curve,-0.3645376231991367,1.3110102106858008,0.9718482326696154,-0.07766179125405527,-0.7932995842104079,-0.35124332225757987,-0.02532149010683065,0.13265031802318505,1.4677291932161152
mental_focus,-1.1520832440342943,1.558851420245705,0.14263320936279902,-0.24105677217367047,-1.1949627421217144,-1.1549489240445516,-0.7111657494517063,1.234637846189661,-0.5077452794596248
cognitive_load,-0.6574127795109761,1.435685572964626,0.33318466723787393,-0.8433036931291275,-1.7941125630728163,-1.2340323089155678,-0.9161417839517596,1.0721122980748385,-0.3531725179835662
endurance,1.6775872327781958,-0.9149150675224813,-0.373993766566467,0.4084127298379519,0.08441430675814193,0.08330367491496737,0.12508935801375962,0.3731580945014696,0.919906901276745
tactical_thinking,1.03700092406546,0.6609822003582082,0.21336839881215813,-0.7926191143679002,-0.2226308450993665,1.193043353180372,-0.20636034236051734,0.03616603992907345,0.5488329091210498
flexibility,-0.10662113366262456,-1.1049009660231592,-0.4451681885196585,3.060560079296094,-0.8917505087858015,-0.402289246672477,-1.10440048102918,-0.5127130868416899,0.5286781417537905
impulsivity,1.2073621385080593,0.06964516606570183,1.016819310035553,-0.2940837767538576,0.07225434030800096,0.6235721034649218,-0.3760161998740327,-0.5897455759737454,-0.45442697523470615
aerobic,1.8772267987730173,-0.8224669139782691,-0.48637095213016696,0.10362800961462056,-0.15516285489044923,0.0573362810759397,-0.06449624512955124,-0.27636158365304625,-0.07676647190073607
reaction_time,0.21802187442343593,1.2432182080742633,0.3109623338273318,-0.5967200573081282,0.6345724485733021,0.8473584653102643,0.29758230115106993,-1.345871667384175,-1.2167980431925458
speed,1.7300420223474011,-0.36993906922115694,-0.20861575261609208,-0.44662895754491166,0.4650393514254313,0.11062953303899425,0.05631241314255534,-0.38847770844953905,-1.5724408546053499
patience,-2.583071820063508,1.2696452211806193,-0.623827781270609,-0.7478647110564437,0.5485901491480002,0.16903301284066508,0.3849470755631339,-0.7532408458601056,1.677580157873767
precision,-1.6406272405558975,1.8944146535525925,-0.6641468276191589,-0.09524369763237849,0.1748973030032517,-0.1237468861825115,0.26337058028120364,-1.0404111780538672,0.5718677387670291
timing,-0.27637780831499664,1.320996778416461,0.26805018378701706,0.5215958004786284,-0.08851950551130637,0.8905525445467113,0.6299203323173327,-1.064211535146718,-0.7605930138208458
spatial_awareness,0.16598142838293262,1.1886930498465411,-0.116566177095537,0.23999630639999756,0.1110281370717229,-0.5346810947133767,-0.9275197464542533,0.4929720974757833,-1.3677056830264265
vision_range,-0.23574411398858464,1.1900895022737221,-0.029127595563983432,-1.8548515222623883,0.4328623698086481,0.04531068018821178,-0.002755803224667045,-0.044785982612990605,-2.068279280163635
fearlessness,-0.1359259696000121,-0.15173924471233088,1.952769313196942,0.4059453127578763,0.8247157903102033,-0.8929654121226758,-0.7572275320601561,0.15824009450827384,0.27526628578134127
rhythm_musicality,-0.0012876310315183361,-0.3358428766453997,0.5336539579933627,2.289321454262185,-0.0291585965200724,-0.3315476724478798,-1.633987484742287,-0.4183659887706652,0.007078254568706524
grip_strength,1.0242396944775278,-0.47045104889048667,0.38196076716697414,1.7841232351725838,-0.11776653663807188,-0.09716562881622531,-0.3566820358883885,0.029196146579025372,0.5814412792869568
avg_session_duration_hours,-1.1740412323831488,-1.3282510234736458,-0.5267683979734076,-0.9144586971943237,0.7614808372714436,0.20107513726439774,-0.3906460872516643,3.1187640579382303,0.5243682074853085
accessibility,-1.050081133269662,-1.8526536137565341,-3.3755079974562405,-0.8256033926067109,-0.5505220599055732,0.2634375932074449,0.2932403662547674,-1.252786197632348,0.7249147270466725
strength,1.2666769957928004,-0.7362629374213167,0.6102062241486472,0.8571921599702518,-0.6787335678291156,-0.6473561400408673,0.5464765106752593,0.4445270903252377,0.6938263052915923
coordination,-0.2856905381798801,1.5881219657774939,0.0604590200078643,1.1020660077306554,-0.6502386508043009,0.4620311732181744,0.42314740027371706,-0.6971304983148475,-0.440290772827044
explosiveness,1.3733861264450276,0.1324847656268213,0.449935194929083,0.1695527005778083,0.6236459183264914,0.32672817168943424,0.03086901986313821,-0.9253458692053024,-0.33345298241076793
balance,-0.24587682455955864,0.24345575899197833,-0.030646596570061153,2.680405674033188,-0.4392717974050433,-0.7587155264706945,-0.6687304262518645,0.31240699114652665,-1.053045585399768
agility,1.1833164595933952,0.5832665848133555,-0.2660268216499511,0.9124397989274461,-0.09294716930850577,0.454163716421558,-0.18445732732630468,-0.990595539599842,-0.9157949668018283
physical_health_MET,1.5945079077518685,-0.9728971358443412,-0.3868698514592011,-0.4043180508040974,-0.277441385271449,0.28600763105995847,0.7128577604758533,-0.6074397877408029,0.5549294345066889
